지점,일시,풍속(m/s),풍향(deg),GUST풍속(m/s),최대파고(m),유의파고(m),평균파고(m),파주기(sec),파향(deg)
22303,2022-04-25 01:00,.1,310,1,.2,.1,.1,3.8,252
22303,2022-04-25 02:00,1.8,307,2.1,.2,.1,.1,2,120
22303,2022-04-25 03:00,1.4,3,1.9,.2,.1,.1,3.6,270
22303,2022-04-25 04:00,.2,121,1.2,.2,.1,.1,4.9,239
22303,2022-04-25 05:00,0,0,0,.3,.1,.1,4.3,244
22303,2022-04-25 06:00,.1,117,.8,.2,.1,.1,4,261
22303,2022-04-25 07:00,1,86,1.5,.2,.1,.1,2.9,77
22303,2022-04-25 08:00,1.7,55,2.1,.3,.2,.1,3.4,271
22303,2022-04-25 09:00,.9,328,2.1,.2,.1,.1,2.9,249
22303,2022-04-25 10:00,1.7,315,2.1,.3,.2,,2.8,260
22303,2022-04-25 11:00,1.6,341,2,.3,.2,,3.2,231
22303,2022-04-25 12:00,2.3,8,2.6,.3,.2,.2,4.6,82
22303,2022-04-25 13:00,.8,16,1.2,.3,.2,.1,3.4,258
22303,2022-04-25 14:00,2.8,20,3.1,.2,.2,.1,2,100
22303,2022-04-25 15:00,3.9,5,4.2,.4,.2,.1,2.7,159
22303,2022-04-25 16:00,3.6,10,3.9,.3,.2,.1,4.3,357
22303,2022-04-25 17:00,3.5,338,4.3,.3,.2,.1,5.3,244
22303,2022-04-25 18:00,2.6,312,3.1,.3,.2,.1,4.3,256
22303,2022-04-25 19:00,2.6,320,3.9,.3,.2,.1,4,245
22303,2022-04-25 20:00,1.6,294,2.2,.3,.2,.1,4,241
22303,2022-04-25 21:00,1.4,32,2.3,.4,.2,.1,5.3,243
22303,2022-04-25 22:00,2.8,166,4,.3,.2,.1,4,244
22303,2022-04-25 23:00,4,160,5.1,.3,.2,.1,3.8,237
22303,2022-04-26 00:00,1.9,65,2.4,.3,.2,.1,3.4,243
22303,2022-04-26 01:00,2.2,54,2.7,.3,.2,.1,3.6,232
22303,2022-04-26 02:00,2.1,38,2.4,.2,.1,.1,4,249
22303,2022-04-26 03:00,4.7,65,5.4,.2,.1,.1,2,145
22303,2022-04-26 04:00,6.7,52,8.1,.2,.2,.1,2,265
22303,2022-04-26 05:00,4.5,50,5.2,.3,.1,.1,2,335
22303,2022-04-26 06:00,4.2,56,5,.2,.1,.1,2,341
22303,2022-04-26 07:00,4.3,88,4.9,.2,.1,.1,3.6,83
22303,2022-04-26 08:00,1.7,86,2.4,.2,.1,.1,4.3,292
22303,2022-04-26 09:00,2.6,329,3.4,.3,.2,.1,4.3,232
22303,2022-04-26 10:00,2.8,312,3.9,.2,.1,.1,3.8,349
22303,2022-04-26 11:00,2.8,288,3.7,.3,.2,.1,4.6,82
22303,2022-04-26 12:00,4.4,296,5.4,.4,.3,.2,3.8,275
22303,2022-04-26 13:00,4.3,300,5.7,.2,.1,.1,4,276
22303,2022-04-26 14:00,4.2,237,5.2,.2,.1,.1,3.4,340
22303,2022-04-26 15:00,5.5,261,6.5,.3,.2,.1,2.4,63
22303,2022-04-26 16:00,6.4,240,7.8,.4,.2,.1,2,74
22303,2022-04-26 17:00,5.5,253,7,.4,.2,.1,2.2,246
22303,2022-04-26 18:00,7.1,313,9.3,.4,.2,.2,2.4,287
22303,2022-04-26 19:00,8.3,323,9.8,.8,.4,.3,2.9,280
22303,2022-04-26 20:00,8.2,314,10,.7,.4,.3,3.4,284
22303,2022-04-26 21:00,8.5,316,12.5,.8,.4,.3,3.4,267
22303,2022-04-26 22:00,8.3,319,10.2,.9,.6,.4,2.8,294
22303,2022-04-26 23:00,7.3,313,8.4,.9,.5,.3,3.2,293
22303,2022-04-27 00:00,7.1,324,8.9,.8,.5,.3,2.9,307
22303,2022-04-27 01:00,9,341,10.6,.9,.5,.4,3.4,328
22303,2022-04-27 02:00,7.1,351,11.2,.9,.5,.4,3.4,318
22303,2022-04-27 03:00,9.2,336,11.1,1,.6,.4,3.6,325
22303,2022-04-27 04:00,8.6,334,10.5,1,.7,.5,4,309
22303,2022-04-27 05:00,6.9,336,9,1,.7,.5,3.8,306
22303,2022-04-27 06:00,9.3,351,12.9,.9,.6,.4,3.2,313
22303,2022-04-27 07:00,7.2,358,8.5,.7,.4,.3,4,245
22303,2022-04-27 08:00,,,,.6,.4,.3,4,229
22303,2022-04-27 09:00,3.6,349,5,.5,.3,.2,3.4,295
22303,2022-04-27 10:00,6.1,346,7.5,.6,.4,.3,2,301
22303,2022-04-27 11:00,4.6,332,5.7,.6,.3,.2,6.4,232
22303,2022-04-27 12:00,3.7,293,4.8,.4,.3,.2,3.6,246
22303,2022-04-27 13:00,5.3,305,6.5,.4,.3,.2,4.6,226
22303,2022-04-27 14:00,5.9,305,7.5,.4,.2,.2,3.4,28
22303,2022-04-27 15:00,4.1,317,5.4,.5,.3,.2,4.3,189
22303,2022-04-27 16:00,3.2,299,3.8,.4,.2,.2,2.3,344
22303,2022-04-27 17:00,3.9,280,5.5,.4,.3,.2,3.8,153
22303,2022-04-27 18:00,2.6,285,3.3,.4,.2,.2,5.3,246
22303,2022-04-27 19:00,3.4,275,4.4,.4,.2,.2,3.8,240
22303,2022-04-27 20:00,3.9,265,5.2,.4,.2,.2,3.6,238
22303,2022-04-27 21:00,3.9,273,4.6,.3,.2,.2,4.3,254
22303,2022-04-27 22:00,3.8,301,4.8,.3,.2,.2,4,251
22303,2022-04-27 23:00,5.7,309,6.5,.5,.3,.2,2,99
22303,2022-04-28 00:00,4.2,322,5.1,.5,.3,.2,5.3,242
22303,2022-04-28 01:00,2.6,323,3.1,.5,.3,.2,2,262
22303,2022-04-28 02:00,.7,304,2.4,.4,.2,.2,5.3,224
