지점,일시,풍속(m/s),풍향(deg),GUST풍속(m/s),최대파고(m),유의파고(m),평균파고(m),파주기(sec),파향(deg)
22185,2024-03-18 00:00,8.6,352,11.4,2.8,1.7,1.2,4.8,307
22185,2024-03-18 01:00,8.7,345,11.5,2.1,1.6,1.1,4.7,310
22185,2024-03-18 02:00,7.4,348,10,2.3,1.4,1,4.4,312
22185,2024-03-18 03:00,7.1,350,8.9,1.9,1.3,.9,4.3,306
22185,2024-03-18 04:00,6.4,348,8.1,1.8,1.1,.8,4,303
22185,2024-03-18 05:00,5.4,1,6.6,1.8,1.1,.8,3.9,298
22185,2024-03-18 06:00,4.7,15,6.1,1.5,1,.7,4,306
22185,2024-03-18 07:00,5.1,1,6.5,1.5,.9,.6,3.9,312
22185,2024-03-18 08:00,3.1,29,3.8,1.2,.8,.6,3.9,307
22185,2024-03-18 09:00,2.2,57,2.7,1.1,.7,.5,4.1,310
22185,2024-03-18 10:00,1.5,51,2.1,.9,.7,.4,4.2,303
22185,2024-03-18 11:00,1.5,80,2.4,.9,.6,.4,4.1,309
22185,2024-03-18 12:00,.7,154,1.5,.9,.6,.4,4.1,303
22185,2024-03-18 13:00,2.6,207,3.7,.8,.5,.4,4.1,302
22185,2024-03-18 14:00,2.8,212,4,.7,.5,.3,4.1,298
22185,2024-03-18 15:00,3.4,234,4.5,.8,.4,.3,3.9,285
22185,2024-03-18 16:00,3.8,259,4.5,.6,.4,.3,4,298
22185,2024-03-18 17:00,2.4,272,3.1,.7,.4,.3,3.7,306
22185,2024-03-18 18:00,2.5,255,2.9,.6,.4,.3,3.6,298
22185,2024-03-18 19:00,2.1,228,2.5,.6,.4,.3,3.7,310
22185,2024-03-18 20:00,1.9,210,2.6,.6,.4,.3,3.6,312
22185,2024-03-18 21:00,2.7,204,3.3,.5,.4,.3,3.6,312
22185,2024-03-18 22:00,2.3,199,2.8,.6,.4,.3,3.6,315
22185,2024-03-18 23:00,2.1,209,2.5,.5,.4,.3,3.7,305
22185,2024-03-19 00:00,4.4,196,5.1,.5,.3,.2,3.8,300
22185,2024-03-19 01:00,3.9,196,4.9,.6,.3,.3,3.7,303
22185,2024-03-19 02:00,3.7,208,4.5,.5,.3,.3,3.5,293
22185,2024-03-19 03:00,5.5,181,6.6,.5,.4,.3,3.2,292
22185,2024-03-19 04:00,6.1,188,7.5,.7,.5,.3,3.1,199
22185,2024-03-19 05:00,4.5,153,6.5,1,.5,.4,3.2,222
22185,2024-03-19 06:00,4.9,204,6.7,1,.7,.5,3.5,261
22185,2024-03-19 07:00,4.8,210,6.4,1.4,.9,.6,3.8,261
22185,2024-03-19 08:00,8.1,231,10.6,2,1.1,.8,4,264
22185,2024-03-19 09:00,7.1,240,9.6,2.8,1.6,1.2,4.4,275
22185,2024-03-19 10:00,8.5,243,11.1,3,1.7,1.2,4.5,260
22185,2024-03-19 11:00,9.3,277,12.2,3.1,1.8,1.4,4.7,258
22185,2024-03-19 12:00,8.7,290,11.9,2.8,1.8,1.3,4.9,258
22185,2024-03-19 13:00,9.7,290,12,2.6,1.7,1.2,4.8,264
22185,2024-03-19 14:00,9.5,300,13,3,1.9,1.3,5.1,265
22185,2024-03-19 15:00,12.4,308,16.8,3.4,2.2,1.5,5.3,260
22185,2024-03-19 16:00,12.8,309,16.4,3.7,2.3,1.6,5.3,255
22185,2024-03-19 17:00,13.4,313,16.4,4.8,2.3,1.8,5.1,277
22185,2024-03-19 18:00,12.8,314,16.5,4.6,3.3,2.1,6.1,289
22185,2024-03-19 19:00,12.9,318,17.2,4.9,2.9,2,5.6,293
22185,2024-03-19 20:00,13.2,318,17.1,4.1,2.9,2.1,5.5,296
22185,2024-03-19 21:00,12.9,322,16.8,5.4,3,2.2,5.6,295
22185,2024-03-19 22:00,12.1,328,16.2,5.4,3.2,2.3,5.9,306
22185,2024-03-19 23:00,11.8,338,16.1,4.5,3.4,2.2,6.1,296
22185,2024-03-20 00:00,11.4,340,14.7,4.5,2.9,2,5.7,303
22185,2024-03-20 01:00,10.9,337,14.1,4.2,2.7,1.8,5.7,300
22185,2024-03-20 02:00,10.6,332,14.7,3.8,2.7,1.7,5.5,307
22185,2024-03-20 03:00,11.6,338,14.9,3.4,2.2,1.5,5.1,309
22185,2024-03-20 04:00,11.9,339,15.4,3,2.3,1.6,5.1,307
22185,2024-03-20 05:00,10.8,335,13.7,3.8,2.2,1.5,5.1,309
22185,2024-03-20 06:00,10.4,338,13.6,3.5,2.1,1.4,4.9,305
22185,2024-03-20 07:00,10,341,12.7,3.4,2.1,1.5,4.8,307
22185,2024-03-20 08:00,9.9,339,12.3,3.6,1.9,1.3,4.7,306
22185,2024-03-20 09:00,9.4,340,11.8,2.7,1.8,1.3,4.5,315
22185,2024-03-20 10:00,9.3,339,12.3,2.8,1.8,1.2,4.5,313
22185,2024-03-20 11:00,9.4,333,12,2.6,1.9,1.3,4.8,315
22185,2024-03-20 12:00,9,335,11.7,3,1.8,1.2,4.7,322
22185,2024-03-20 13:00,9,331,11.5,2.8,1.8,1.2,4.9,315
22185,2024-03-20 14:00,8.8,328,11.2,2.4,1.8,1.2,5,324
22185,2024-03-20 15:00,8.7,320,11.3,2.6,1.6,1.1,4.9,319
22185,2024-03-20 16:00,10.3,321,13.3,2.7,1.7,1.2,4.9,320
22185,2024-03-20 17:00,9.4,320,11.9,3.3,1.7,1.2,4.9,320
22185,2024-03-20 18:00,9.4,319,12.3,2.9,1.8,1.2,4.9,316
22185,2024-03-20 19:00,8.5,320,11.2,3,1.8,1.2,4.9,312
22185,2024-03-20 20:00,7.9,317,10.4,2.6,1.8,1.2,4.9,306
22185,2024-03-20 21:00,8.4,327,10.9,2.2,1.7,1.1,4.6,307
22185,2024-03-20 22:00,7.6,326,9.6,2.3,1.6,1,4.4,306
22185,2024-03-20 23:00,7,328,9.2,2.6,1.5,1,4.5,300
22185,2024-03-21 00:00,6.2,332,7.8,2.5,1.4,1,4.4,315
22185,2024-03-21 01:00,6.6,321,8.4,2.4,1.3,.9,4.4,316
22185,2024-03-21 02:00,6.3,319,8.1,2.2,1.3,.9,4.5,316
22185,2024-03-21 03:00,6.4,310,8.4,1.7,1.2,.8,4.4,315
22185,2024-03-21 04:00,6.2,306,7.9,2.1,1.1,.8,4.3,322
22185,2024-03-21 05:00,5.5,307,7.1,1.5,1,.7,4.2,317
22185,2024-03-21 06:00,5.1,324,6.2,1.4,1,.7,4.2,315
22185,2024-03-21 07:00,4.3,315,5.3,1.5,.9,.6,4,313
22185,2024-03-21 08:00,3.6,318,4.7,1.6,.8,.6,4,307
22185,2024-03-21 09:00,2.3,314,2.9,1.3,.9,.6,4.2,306
22185,2024-03-21 10:00,1.9,290,2.5,1.3,.9,.6,4.1,306
22185,2024-03-21 11:00,1.8,239,2.3,1.4,.9,.6,4.1,312
22185,2024-03-21 12:00,2.6,237,3.2,1.5,.8,.6,4.2,317
22185,2024-03-21 13:00,3.3,204,4.2,1.2,.8,.5,4.3,313
22185,2024-03-21 14:00,4,204,5.1,1,.7,.5,4.2,327
22185,2024-03-21 15:00,4.4,208,5.2,1,.6,.4,4.1,320
22185,2024-03-21 16:00,4.4,192,5.4,.9,.6,.4,3.9,322
22185,2024-03-21 17:00,4.1,181,5,.8,.5,.4,3.6,312
22185,2024-03-21 18:00,5,157,6.3,.8,.5,.3,3.5,310
22185,2024-03-21 19:00,5.2,160,6.3,.7,.5,.3,3.3,307
22185,2024-03-21 20:00,5,172,6.2,.7,.5,.3,3.2,302
22185,2024-03-21 21:00,4.3,176,,.7,.5,.3,3.3,212
22185,2024-03-21 22:00,3.6,179,4.8,.8,.5,.4,3.3,212
22185,2024-03-21 23:00,5.2,181,6.3,.8,.5,.4,3.2,215
22185,2024-03-22 00:00,6.6,178,8,.9,.6,.4,3.3,227
22185,2024-03-22 01:00,6.3,164,7.7,1.1,.7,.5,3.4,236
22185,2024-03-22 02:00,7.1,151,8.8,1.3,.8,.6,3.5,226
22185,2024-03-22 03:00,6.7,145,8,1.4,.9,.6,3.6,225
22185,2024-03-22 04:00,8.5,132,10.3,1.5,.9,.7,3.5,226
22185,2024-03-22 05:00,8.7,140,10.4,1.6,1.1,.8,3.7,219
22185,2024-03-22 06:00,8.4,138,10.5,2.1,1.2,.8,3.8,222
22185,2024-03-22 07:00,8.6,137,10.7,2.2,1.2,.9,3.9,219
22185,2024-03-22 08:00,9.5,139,12.3,2.1,1.3,1,4.2,220
22185,2024-03-22 09:00,10,146,13.2,2.2,1.5,1.1,4.4,226
22185,2024-03-22 10:00,9.1,154,12,3,1.8,1.3,4.9,222
22185,2024-03-22 11:00,9.9,166,13.3,3.3,1.9,1.4,5.1,219
22185,2024-03-22 12:00,11.1,175,14.1,3.7,2.5,1.7,5.6,215
22185,2024-03-22 13:00,11.1,175,14.3,3.9,2.4,1.6,5.3,180
22185,2024-03-22 14:00,11.5,182,14.8,3.6,2.2,1.6,5,209
22185,2024-03-22 15:00,11.9,189,15.2,3.4,2.5,1.7,5.1,216
22185,2024-03-22 16:00,12.1,190,16,3.8,2.4,1.7,5.3,212
22185,2024-03-22 17:00,10.7,193,13.6,5.1,2.5,1.7,5.3,209
22185,2024-03-22 18:00,10.9,194,14.1,3.5,2.4,1.6,5.4,205
22185,2024-03-22 19:00,10.2,193,13.1,3.9,2.4,1.6,5.5,213
